日付,利用店,金額,
2024-02-11,ファミリーマート下北沢駅前店,1208,
2024-02-11,サイゼリヤ青山店,713,
2024-02-11,ヤマト運輸,2057,
2024-02-12,ファミリーマート南青山店,1285,
2024-02-12,カフェドクリエ下北沢店,713,
2024-02-12,無印良品青山店,3559,
2024-02-12,無印良品青山店,3569,
2024-02-12,コストコ下北沢店,7048,
2024-02-12,ディズニーストア新宿店,6039,
2024-02-12,ファミリーマート南青山店,1255,
2024-02-12,ファミリーマート下北沢駅前店,1217,
2024-02-12,ドトールコーヒーショップ下北沢店,636,
2024-02-12,ドトールコーヒーショップ下北沢店,610,
2024-02-13,ローソン南青山店,546,
2024-02-13,ディズニーストア渋谷店,6059,
2024-02-13,サンマルクカフェ青山一丁目店,753,
2024-02-13,タリーズコーヒー下北沢店,614,
2024-02-13,タリーズコーヒー青山一丁目店,624,
2024-02-13,楽天市場,8062,
2024-02-13,カフェドクリエ下北沢店,746,
2024-02-14,無印良品下北沢店,3575,
2024-02-14,ヤマト運輸,2091,
2024-02-14,サイゼリヤ青山店,708,
2024-02-14,ドン・キホーテ六本木店,3045,
2024-02-14,青山学院購買会,627,
2024-02-14,ドン・キホーテ下北沢店,3013,
2024-02-15,松屋青山一丁目店,612,
2024-02-15,ヤマト運輸,2073,
2024-02-15,ZARA表参道店,4585,
2024-02-15,ZARA新宿店,4553,
2024-02-15,サンマルクカフェ青山一丁目店,756,
2024-02-18,無印良品青山店,3522,
2024-02-18,コストコ川崎倉庫店,7022,
2024-02-18,Gap表参道店,4564,
2024-02-18,ヤマト運輸,2005,
2024-02-18,イオンモール下北沢店,4058,
2024-02-18,ドトールコーヒーショップ下北沢店,661,
2024-02-19,ファミリーマート下北沢駅前店,1225,
2024-02-19,ビックカメラ新宿店,9014,
2024-02-19,ビックカメラ渋谷店,9063,
2024-02-19,青山学院購買会,2030,
2024-02-19,マクドナルド下北沢店,830,
2024-02-19,タリーズコーヒー青山一丁目店,627,
2024-02-19,楽天市場,8079,
2024-02-19,無印良品青山店,3542,
2024-02-20,カフェドクリエ下北沢店,791,
2024-02-20,ローソン南青山店,521,
2024-02-20,ZARA新宿店,4540,
2024-02-20,高島屋新宿店,10009,
2024-02-20,ドトールコーヒーショップ下北沢店,608,
2024-02-20,松屋下北沢店,656,
2024-02-20,松屋青山一丁目店,632,
2024-02-20,ビックカメラ新宿店,9042,
2024-02-20,ファミリーマート下北沢駅前店,1214,
2024-02-21,ヤマト運輸,2010,
2024-02-21,ビックカメラ新宿店,9050,
2024-02-21,ヤマト運輸,2077,
2024-02-21,無印良品青山店,3566,
2024-02-21,ヤマト運輸,2067,
2024-02-21,高島屋新宿店,10071,
2024-02-21,セブンイレブン青山通り店,1064,
2024-02-21,イオンモール下北沢店,4030,
2024-02-21,成城石井南青山店,2524,
2024-02-22,ファミリーマート南青山店,1258,
2024-02-22,NTTドコモ通信料,8036,
2024-02-22,ローソン南青山店,533,
2024-02-23,ABCマート表参道店,4085,
2024-02-23,ABCマート新宿店,4092,
2024-02-23,H&M新宿店,5091,
2024-02-23,ディズニーストア渋谷店,6097,
2024-02-23,ユニクロ青山店,3061,
2024-02-23,ビックカメラ新宿店,9008,
2024-02-24,Gap新宿店,4520,
2024-02-24,サンマルクカフェ青山一丁目店,775,
2024-02-24,サイゼリヤ下北沢店,778,
2024-02-24,ローソン南青山店,542,
2024-02-24,イトーヨーカドー下北沢店,3535,
2024-02-28,サンマルクカフェ下北沢店,792,
2024-02-28,NTTドコモ通信料,8023,
2024-02-28,ディズニーストア渋谷店,6046,
2024-02-28,スターバックス青山一丁目店,500,
2024-02-28,イオンモール下北沢店,4084,
2024-02-28,Gap新宿店,4555,
2024-02-28,サイゼリヤ下北沢店,714,
2024-02-28,コストコ下北沢店,7017,
